"Rank","player","Hall_Rating","Reg_Season_Rank","Reg_Season_Hall_Rating","Playoff_Rank","Playoff_Hall_Rating","Est_BPM","Best_Season","Position","MPG","Minutes","Games","Seasons","Rookie_Yr","Final_Yr","Primary_Team","Teams","player_id"
19,"Scottie Pippen",112.472543981302,26,57.9000741068331,11,54.5724698744685,3.74794686835338,9.63477294767489,"SF",35.4790764790765,49174,1386,17,1988,2004,"CHI",3,"pippesc01"
20,"Bob Pettit",110.985491199935,15,85.7560575831081,35,25.2294336168267,5.92955279020581,10.6390535814851,"PF",38.9034090909091,34235,880,11,1955,1965,"STL",2,"pettibo01"
21,"Kevin Garnett",108.198597300367,13,89.5232504611529,48,18.6753468392137,4.22617957497748,11.2918545734637,"PF",35.0551330798479,55317,1578,21,1996,2016,"MIN",3,"garneke01"
22,"John Stockton",106.453970253164,20,76.6679575983906,28,29.7860126547734,4.0321410039538,8.11531285589745,"PG",32.1245551601424,54162,1686,19,1985,2003,"UTA",1,"stockjo01"
23,"Dirk Nowitzki",98.014265266739,23,68.026358566425,26,29.987906700314,3.88207353183693,11.0397386324022,"PF",35.959802538787,50991,1418,18,1999,2016,"DAL",1,"nowitdi01"
24,"Dolph Schayes",96.1409890026538,25,66.2541035969171,27,29.8868854057366,4.71093124716017,9.37070211532992,"PF",34.3777777777778,32487,945,13,1952,1964,"SYR",2,"schaydo01"
25,"Chris Paul",90.110034197876,21,74.900866648444,62,15.209167549432,6.63141958710159,12.5292379114015,"PG",36.3410852713178,28128,774,11,2006,2016,"LAC",3,"paulch01"
26,"Dwyane Wade",85.4798413171823,29,54.2736607462573,22,31.2061805709249,4.4793084905736,10.6401384475342,"SG",36.5868644067797,34538,944,13,2004,2016,"MIA",1,"wadedw01"
27,"Reggie Miller",79.9977082240049,28,56.5430100022416,38,23.4546982217633,3.3242414083071,5.82355943522141,"SG",34.5251141552511,52927,1533,18,1988,2005,"IND",1,"millere01"
28,"Elgin Baylor",76.5751542140262,38,48.1286163138958,30,28.4465379001304,3.54064635534443,10.2353622212928,"SF",40.1765306122449,39373,980,14,1959,1972,"LAL",2,"bayloel01"
29,"Artis Gilmore",73.463487576269,22,69.11173839265,208,4.35174918361899,3.75984637413214,6.95627646463634,"C",35.2195477753465,48286,1371,17,1972,1988,"CHI",4,"gilmoar01"
30,"Jason Kidd",73.3674335910127,37,51.2979777664179,43,22.0694558245947,2.81265280405702,6.91730062994334,"PG",36.2808263395739,56199,1549,19,1995,2013,"DAL",4,"kiddja01"
31,"Moses Malone",72.5074717190579,32,52.256207779892,46,20.2512639391659,2.85900751377391,8.65881143320142,"C",34.3705616526792,53240,1549,21,1975,1995,"HOU",9,"malonmo01"
32,"Paul Arizin",72.0114318467788,30,53.8300730804541,53,18.1813587663247,4.77405774979609,10.094456815754,"SF",38.4345323741007,26712,695,9,1952,1962,"PHW",1,"arizipa01"
33,"Kevin McHale",71.7154454155982,45,40.6753399569522,25,31.0401054586459,3.61947707020673,8.48422064709405,"PF",31.4333333333333,35834,1140,13,1981,1993,"BOS",1,"mchalke01"
34,"Sam Jones",71.1270478049075,54,37.6286732831063,17,33.4983745218013,3.94163279317682,7.92228716600673,"SG",28.2331707317073,28939,1025,12,1958,1969,"BOS",1,"jonessa01"
35,"Walt Frazier",70.9431431376127,41,42.4972953953969,31,28.4458477422157,3.71425052480432,7.24365191967385,"PG",38.037037037037,34918,918,13,1968,1980,"NYK",2,"fraziwa01"
36,"Manu Ginobili",69.6363843707114,49,40.1936460988927,29,29.4427382718186,4.24981097085193,8.48731839180269,"SG",27.15065913371,28834,1062,14,2003,2016,"SAS",1,"ginobma01"
37,"Kevin Durant",68.585238736483,40,45.6759399528471,40,22.9092987836359,4.75873533163897,12.0268804367998,"SF",38.4584615384615,24998,650,9,2008,2016,"OKC",2,"duranke01"
38,"Horace Grant",65.8536687384395,63,34.0645934209548,21,31.7890753174847,2.62156681053779,8.26781015775139,"PF",33.552808988764,44793,1335,17,1988,2004,"CHI",4,"grantho01"
39,"Adrian Dantley",65.5600324425338,31,53.1612390782236,82,12.3987933643102,3.97986536400826,7.6244196230197,"SF",35.6673151750973,36666,1028,15,1977,1991,"UTA",7,"dantlad01"
40,"Pau Gasol",65.4431716088275,44,40.9336905556352,37,24.5094810531923,3.19307476617379,8.71982002578188,"C",35.7045045045045,39632,1110,15,2002,2016,"LAL",3,"gasolpa01"
41,"Neil Johnston",63.5667526047002,27,57.462612261899,160,6.10414034280118,6.22608960360315,12.0208804978895,"C",35.2504638218924,19000,539,8,1952,1959,"PHW",1,"johnsne01"
42,"Gary Payton",63.4516190942339,35,51.9966734147425,88,11.4549456794914,2.50655571841141,7.8756785344192,"PG",35.3243787777032,52598,1489,17,1991,2007,"SEA",5,"paytoga01"
43,"Paul Pierce",63.4026712918195,39,47.3841244022093,60,16.0185468896103,2.90619244203855,6.22400264262099,"SF",35.7147887323944,50715,1420,18,1999,2016,"BOS",4,"piercpa01"
44,"Bailey Howell",62.0656858943581,33,52.2138244636227,104,9.85186143073539,3.90229833417332,8.49087326068226,"PF",32.1901544401544,33349,1036,12,1960,1971,"DET",4,"howelba01"
45,"Bill Sharman",61.3241002357649,58,36.0501743316562,34,25.2739259041087,3.91213960784628,6.25831836761456,"SG",32.1451187335092,24366,758,10,1952,1961,"BOS",1,"sharmbi01"
46,"Isiah Thomas",60.976701871461,82,29.8528100967944,24,31.1238917746666,2.57079540919269,8.5809418373716,"PG",36.451376146789,39732,1090,13,1982,1994,"DET",1,"thomais01"
47,"Larry Nance",60.7723184653937,36,51.49108066505,109,9.28123780034371,4.2239370898082,6.36688062873537,"PF",33.5273279352227,33125,988,13,1982,1994,"CLE",2,"nancela01"
48,"James Worthy",59.9741148244176,99,26.9697755524043,19,33.0043392720133,2.441982041105,7.70224787054548,"SF",33.0196445275959,35298,1069,12,1983,1994,"LAL",1,"worthja01"
49,"Ray Allen",58.635355156175,48,40.4458007724718,52,18.1895543837032,2.55288121525309,6.11900705327869,"SG",35.6274643099932,52408,1471,18,1997,2014,"BOS",4,"allenra02"
50,"Walt Bellamy",58.1664019222438,34,52.0359341359604,159,6.13046778628344,3.27699198238264,9.82409979700985,"C",37.5381083562902,40879,1089,14,1962,1975,"ATL",7,"bellawa01"
51,"Chauncey Billups",58.1584274561738,66,33.3417719071562,36,24.8166555490176,2.64508173991076,6.62455272304881,"PG",32.2363330529857,38329,1189,17,1998,2014,"DET",7,"billuch01"
52,"Jeff Hornacek",57.4500967603044,56,36.2218837140971,44,21.2282130462072,2.8970414804502,5.80283724305499,"SG",31.8241577649959,38730,1217,14,1987,2000,"UTA",3,"hornaje01"
53,"Cliff Hagan",56.3276037961926,61,34.178975772176,42,22.1486280240166,3.44942962980435,8.39903210341141,"SF",29.1054897739505,27039,929,13,1957,1970,"STL",2,"hagancl01"
54,"John Havlicek",54.8533124443195,97,27.3290180749981,32,27.5242943693214,2.03659175325133,6.12249577983166,"SF",36.9840499306519,53331,1442,16,1963,1978,"BOS",1,"havlijo01"
55,"Bob Lanier",54.7355383529583,42,42.1209067950302,79,12.6146315579281,3.54542673824144,8.0370977544803,"C",33.5906432748538,34464,1026,14,1971,1984,"DET",2,"laniebo01"
56,"Robert Parish",54.4274862002213,47,40.4720600436298,71,13.9554261565916,2.24324260315679,5.03143577706474,"C",28.9030640668524,51881,1795,21,1977,1997,"BOS",4,"parisro01"
57,"Patrick Ewing",53.4811847826443,50,40.1217478521914,75,13.3594369304529,2.40701733868451,6.54449050922666,"C",34.6452344931921,45801,1322,17,1986,2002,"NYK",3,"ewingpa01"
58,"Bob Cousy",51.3320976322268,80,30.2332999123072,45,21.0987977199196,2.70244903100669,4.86045866855961,"PG",35.6392931392931,34285,962,13,1952,1970,"BOS",2,"cousybo01"
59,"Sidney Moncrief",51.0302061292915,46,40.5283168187279,99,10.5018893105635,4.15418851094676,7.32001322599958,"SG",30.6697674418605,26376,860,11,1980,1991,"MIL",2,"moncrsi01"
60,"Bobby Jones",50.9474651161636,59,34.4809960137389,57,16.4664691024247,3.62759806347574,5.70197797054773,"PF",27.3536585365854,29159,1066,12,1975,1986,"PHI",3,"jonesbo01"
61,"Wes Unseld",50.8501801989845,62,34.0730621168376,56,16.7771180821468,2.76163524381387,4.20295238433368,"C",36.9184043517679,40721,1103,13,1969,1981,"WSB",3,"unselwe01"
62,"Rick Barry",50.6669450272001,55,36.568285367439,70,14.0986596597612,2.66039115376886,8.71049097663294,"SF",37.363802559415,40876,1094,14,1966,1980,"GSW",6,"barryri01"
63,"Terry Porter",48.2348825616398,81,30.0629851971449,54,18.1718973644949,2.25349399811264,8.00253080807058,"PG",28.1065808297568,39293,1398,17,1986,2002,"POR",4,"portete01"
64,"Maurice Cheeks",48.1792590792772,83,29.7078864831759,49,18.4713725961013,2.55375140667953,4.20263409620038,"PG",32.1661264181524,39693,1234,15,1979,1993,"PHI",5,"cheekma01"
65,"George Mikan",48.0616665335563,110,24.9684763303513,39,23.093190203205,6.03978569868752,11.647213394679,"C",34.6830985915493,9850,284,4,1952,1956,"MNL",1,"mikange01"
66,"Dwight Howard",46.6751506551812,70,32.3997630796183,68,14.2753875755629,3.04928793877915,8.1241379212904,"C",35.7827050997783,32276,902,12,2005,2016,"ORL",3,"howardw01"
67,"Chet Walker",46.1507465707583,71,32.3573705306994,72,13.7933760400589,2.79681735336376,6.51865480915803,"SF",32.6481970096746,37121,1137,13,1963,1975,"CHI",3,"walkech01"
68,"Bill Laimbeer",45.8925493307412,73,31.2978781796983,65,14.5946711510429,2.71747960444555,4.52216041796773,"C",31.9144792548688,37691,1181,14,1981,1994,"DET",2,"laimbbi01"
69,"Ben Wallace",45.8279665674662,94,27.516370744967,51,18.3115958224992,2.5803009005253,6.11168681782493,"C",30.0566502463054,36609,1218,16,1997,2012,"DET",6,"wallabe01"
70,"Ed Macauley",45.3714161865703,52,39.0097332670543,154,6.36168291951603,4.41653245947988,9.17826246946985,"C",35.3629764065336,19485,551,8,1952,1959,"BOS",2,"macaued01"
71,"Hal Greer",45.1197796641153,69,32.7651166282003,83,12.354663035915,2.11705550644974,4.88789706116488,"SG",35.7742998352554,43430,1214,15,1959,1973,"PHI",2,"greerha01"
72,"Shawn Marion",44.8726008825616,57,36.1093836566686,115,8.76321722589303,2.43482799680365,6.19233785972732,"SF",34.5393081761006,43934,1272,16,2000,2015,"PHO",5,"mariosh01"
73,"Dominique Wilkins",44.0491971863121,43,41.8429016298374,329,2.2062955564747,2.81956911121659,6.86458695465824,"SF",35.6504424778761,40285,1130,15,1983,1999,"ATL",5,"wilkido01"
74,"Marques Johnson",43.8641783838237,64,33.9905033819449,103,9.87367500187882,3.70213724424517,5.77319453168293,"SF",34.6389261744966,25806,745,11,1978,1990,"MIL",3,"johnsma01"
75,"James Harden",43.7727658138301,84,29.5996836463697,69,14.1730821674604,4.75214867919273,10.2290469178287,"SG",32.6951672862454,17590,538,7,2010,2016,"HOU",2,"hardeja01"
76,"Kevin Johnson",43.761810364753,85,29.2658993619301,66,14.4959110028229,2.99147469091928,6.13758064536556,"PG",34.4523809523809,28940,840,12,1988,2000,"PHO",2,"johnske02"
77,"Jack Sikma",43.7310554430541,53,37.6880651340287,165,6.04299030902532,2.7151061394384,5.91712031420586,"C",33.4995864350703,40501,1209,14,1978,1991,"SEA",2,"sikmaja01"
78,"George Yardley",43.4962989386173,87,28.7725479393039,64,14.7237509993134,4.23186943968812,7.95478219372872,"SF",33.7607003891051,17353,514,7,1954,1960,"FTW",3,"yardlge01"
79,"Tracy McGrady",43.2567328531691,51,39.7934565449831,252,3.46327630818602,3.1448331005569,10.1603626295757,"SG",32.7753036437247,32382,988,16,1998,2013,"HOU",7,"mcgratr01"
80,"Cedric Maxwell",42.9049821081124,104,25.7600833391713,55,17.1448987689411,3.18073995130837,5.97879710225107,"SF",28.281750266809,26500,937,11,1978,1988,"BOS",3,"maxwece01"
81,"Stephen Curry",42.618420155419,86,28.8956821854473,73,13.7227379699717,4.72251492263765,10.9243130903594,"PG",35.4649681528662,16704,471,7,2010,2016,"GSW",1,"curryst01"
82,"Robert Horry",41.9673896822417,247,10.8254899834106,23,31.1418996988311,1.62269298453234,5.61247483581993,"PF",25.0866025166543,33892,1351,16,1993,2008,"LAL",4,"horryro01"
83,"Clyde Lovellette",39.4888218231362,74,30.9822592684868,117,8.50656255464942,3.70148914518825,5.60765674965132,"C",26.8007761966365,20717,773,11,1954,1964,"MNL",4,"lovelcl01"
84,"Dennis Rodman",39.4518904165131,92,27.9760469934731,87,11.47584342304,2.68835888239611,6.29630930325137,"PF",31.137037037037,33628,1080,14,1987,2000,"DET",5,"rodmade01"
85,"Vince Carter",39.3067654799368,65,33.5429128140649,173,5.76385266587184,2.29346654559483,6.92848297361001,"SG",33.3057915057915,43131,1295,18,1999,2016,"TOR",6,"cartevi01"
86,"Zelmo Beaty",39.2704780035245,75,30.9638089625887,121,8.30666904093574,2.71430284902814,5.81794014005538,"C",33.6355042016807,32021,952,12,1963,1975,"STL",4,"beatyze01"
87,"Chris Webber",39.2307008285852,67,33.1643231124177,163,6.06637771616745,2.54390794436819,5.40995359223318,"PF",37.0439077936334,33747,911,15,1994,2008,"SAC",6,"webbech01"
88,"Shawn Kemp",38.9990119871826,105,25.6210872202177,74,13.3779247669649,1.80585007300716,5.97959905123151,"PF",28.2967515364355,32230,1139,14,1990,2003,"SEA",4,"kempsh01"
89,"Russell Westbrook",38.8508621725087,95,27.4891326901368,90,11.3617294823719,3.62054811496814,8.3457834464824,"PG",34.4410256410256,20148,585,8,2009,2016,"OKC",1,"westbru01"
90,"Vern Mikkelsen",38.8079282108496,101,26.407525076621,81,12.4004031342286,3.30316980600089,7.83470396989789,"PF",32.4565560821485,20545,633,8,1952,1959,"MNL",1,"mikkeve01"
91,"Eddie Jones",38.6896211753846,76,30.6223860416864,123,8.06723513369818,2.51084196063736,4.70678469441712,"SG",34.3410628019324,35543,1035,14,1995,2008,"MIA",5,"jonesed02"
92,"Jerry Lucas",38.6701809425966,68,32.8390911555223,171,5.83108978707432,2.77106686041071,7.49772825489917,"PF",38.291897891232,34501,901,11,1964,1974,"CIN",3,"lucasje01"
93,"Tom Heinsohn",38.325707812716,135,19.9874396523883,50,18.3382681603278,2.93612995442111,3.97266609030447,"PF",29.6530343007916,22477,758,9,1957,1965,"BOS",1,"heinsto01"
94,"Elton Brand",38.248187493617,60,34.2707391661738,224,3.9774483274432,2.52506579942318,7.03600706769878,"PF",33.1433857539315,35828,1081,16,2000,2015,"LAC",5,"brandel01"
95,"Dikembe Mutombo",37.9536735059835,91,28.124431276229,105,9.82924222975449,2.08380936961027,5.45084380539561,"C",30.769468003084,39908,1297,18,1992,2009,"HOU",6,"mutomdi01"
96,"Alex English",37.816924672971,79,30.2448622085751,127,7.57206246439598,2.14737366859448,5.48886265187675,"SF",32.1094369547978,40490,1261,15,1977,1991,"DEN",4,"englial01"
97,"Willis Reed",37.5777967476341,107,25.0696617839488,80,12.5081349636852,2.9333089012082,7.05170877590622,"C",35.3214285714286,25714,728,10,1965,1974,"NYK",1,"reedwi01"
98,"Frank Ramsey",37.292461182143,187,14.588754827114,41,22.7037063550289,2.82078552687804,5.98305642910994,"SG",24.5852981969487,17726,721,9,1955,1964,"BOS",1,"ramsefr01"
99,"Larry Foust",36.3195378496714,102,26.2261512229307,101,10.0933866267407,3.04531869693276,8.78300697586896,"C",29.228802153432,21717,743,11,1952,1962,"FTW",3,"foustla01"
100,"Gus Williams",35.3885841381776,141,19.1757392697247,59,16.2128448684528,2.11451114376543,5.15932879918326,"PG",31.2337662337662,28860,924,11,1976,1987,"SEA",4,"willigu01"
101,"Vlade Divac",35.1068890007627,113,24.2631978948722,93,10.8436911058904,2.22348352595238,4.20851448409625,"C",29.9330677290837,37566,1255,16,1990,2005,"LAL",3,"divacvl01"
102,"Allen Iverson",34.4509897285575,98,27.2247285066168,131,7.22626122194063,1.97524328517742,5.23171163781085,"SG",41.4081218274112,40787,985,14,1997,2010,"PHI",4,"iversal01"
103,"Grant Hill",34.4383082596725,72,32.2894898127208,334,2.14881844695174,2.16149679393964,8.88925397039177,"SF",33.8103286384977,36008,1065,18,1995,2013,"DET",4,"hillgr01"
104,"Chris Mullin",34.3014232175553,77,30.337690480037,226,3.96373273751831,2.5198443899621,5.75325432537633,"SF",32.3746452223273,34220,1057,16,1986,2001,"GSW",2,"mullich01"
105,"Dan Issel",33.756634881426,78,30.3325018974376,254,3.42413298398833,2.25079642410511,3.7750026241599,"C",34.1329661683714,43383,1271,15,1971,1985,"DEN",3,"isselda01"
106,"Hersey Hawkins",33.6175863148962,116,22.979090316601,97,10.6384959982952,2.25885446475996,4.05655091327413,"SG",32.6991485335856,34563,1057,13,1989,2001,"PHI",4,"hawkihe01"
107,"Anfernee Hardaway",33.2452647744248,123,22.254285181307,91,10.9909795931178,1.92750869691283,7.13623817837615,"SG",34.3111979166667,26351,768,14,1994,2008,"ORL",4,"hardaan01"
108,"Steve Nash",32.2657332401221,122,22.2557900201027,102,10.0099432200194,1.68664170444907,4.07730446964677,"PG",31.6813762154076,42358,1337,18,1997,2014,"PHO",3,"nashst01"
109,"George Gervin",31.9694397398689,109,25.0158769335812,141,6.95356280628769,1.97127984126231,4.32530106885256,"SG",33.7792672028597,37799,1119,14,1973,1986,"SAS",4,"gervige01"
110,"Rasheed Wallace",31.8222494812894,144,18.8363596394077,77,12.9858898418817,1.66661609739437,3.78274388325524,"PF",32.7223950233281,42081,1286,16,1996,2013,"POR",6,"wallara01"
111,"Detlef Schrempf",31.6618642800693,88,28.6358738363678,283,3.02599044370151,2.20986847837377,5.17214210445486,"SF",29.548,36935,1250,16,1986,2001,"SEA",4,"schrede01"
112,"Marc Gasol",31.525148933299,129,21.813671252594,107,9.71147768070496,3.39554172817167,6.27873829649472,"C",34.1986301369863,19972,584,8,2009,2016,"MEM",1,"gasolma01"
113,"Buck Williams",31.4083607704627,103,25.8003370191297,179,5.60802375133305,1.91033292333639,4.88308700527957,"PF",32.6318021201413,46174,1415,17,1982,1998,"POR",3,"willibu01"
114,"Fat Lever",31.3790923652972,93,27.86096594632,247,3.51812641897722,3.01913456510601,6.88213680356848,"PG",31.56875,25255,800,11,1983,1994,"DEN",3,"leverfa01"
115,"Jack Twyman",31.3196463202445,90,28.3826524070872,287,2.9369939131572,2.7576342781722,5.09071001824752,"SF",31.7876312718786,27242,857,11,1956,1966,"CIN",2,"twymaja01"
116,"Dave Cowens",31.3106790646865,132,21.6126482511703,108,9.69803081351629,2.23357581016248,4.73136328190407,"C",38.9859649122807,33333,855,11,1971,1983,"BOS",2,"cowenda01"
117,"Mookie Blaylock",30.9579941131458,96,27.4082845114375,243,3.54970960170839,1.93148082708696,7.25858407550493,"PG",35.1930010604454,33187,943,13,1990,2002,"ATL",3,"blaylmo01"
118,"Andrei Kirilenko",30.7818977417316,89,28.5349692178634,327,2.24692852386823,3.10480436057272,6.53220571263683,"SF",29.8204225352113,25407,852,13,2002,2015,"UTA",3,"kirilan01"
119,"Tim Hardaway",30.7608978794368,106,25.4554157925694,187,5.30548208686745,2.09241603560618,5.76512698081027,"PG",35.4041170097508,32678,923,13,1990,2003,"MIA",5,"hardati01"
120,"Dan Majerle",30.6233244796674,140,19.208668199414,89,11.4146562802534,2.03037969782197,4.17020237013946,"SG",31.9526901669759,34445,1078,14,1989,2002,"PHO",3,"majerda01"
121,"Alvan Adams",30.4269447025697,112,24.8559740726938,180,5.57097062987597,2.56513171408962,3.4210700559975,"C",27.6651031894934,29491,1066,13,1976,1988,"PHO",1,"adamsal01"
122,"Larry Costello",30.1776345793856,118,22.6793583679611,128,7.49827621142446,2.73627999160516,4.77710786783129,"PG",29.9063324538259,22669,758,12,1955,1968,"SYR",3,"costela01"
123,"Sam Perkins",29.8624328563329,142,19.154907747791,95,10.707525108542,1.71182864728782,5.20732381938266,"PF",28.4810736407433,41383,1453,17,1985,2001,"SEA",4,"perkisa01"
124,"Doc Rivers",29.3579346437438,115,23.7474237500724,177,5.61051089367136,2.76412374394965,5.2901327457002,"PG",27.4708994708995,25960,945,13,1984,1996,"ATL",4,"riverdo01"
125,"Terry Cummings",28.9758323847912,127,22.1409210323712,146,6.83491135242004,1.56760895672971,5.09508983439633,"PF",28.5050270688322,36857,1293,18,1983,2000,"SAS",7,"cummite01"
126,"Jerome Kersey",28.5978800113699,171,15.4272607930408,76,13.1706192183291,1.55186811134957,4.25091296424265,"SF",24.635652853792,31509,1279,17,1985,2001,"POR",6,"kerseje01"
127,"Byron Scott",28.5089715554975,217,12.1983559006622,58,16.3106156548354,1.18198980422353,5.16105743892805,"SG",28.2778662420382,35517,1256,14,1984,1997,"LAL",3,"scottby01"
128,"Elvin Hayes",28.1416117970415,161,16.2305607530878,86,11.9110510439537,1.143902523584,5.02330716962245,"PF",38.7133666904932,54160,1399,16,1969,1984,"WSB",5,"hayesel01"
129,"Kawhi Leonard",28.0369264322379,206,12.9109760283203,63,15.1259504039176,4.49014026110374,7.14011288443248,"SF",29.9422492401216,9851,329,5,2012,2016,"SAS",1,"leonaka01"
130,"Harry Gallatin",27.9779240766433,111,24.8761251380011,274,3.10179893864222,3.51076505998486,6.12154568556345,"PF",31.7834274952919,16877,531,7,1952,1958,"NYK",2,"gallaha01"
131,"Blake Griffin",27.7827944467257,120,22.4303371949117,184,5.35245725181394,4.07846355765547,5.36205079501502,"PF",35.5277777777778,15348,432,6,2011,2016,"LAC",1,"griffbl01"
132,"Bob Dandridge",27.7341443901103,222,11.7821531540308,61,15.9519912360796,1.55220426328533,4.2983098881789,"SF",35.6286019210245,33384,937,13,1970,1982,"MIL",2,"dandrbo01"
133,"Otis Thorpe",27.7193687589716,119,22.5159277889596,188,5.20344097001197,1.58426605997657,3.22525545831091,"PF",31.5161048689139,42074,1335,17,1985,2001,"HOU",9,"thorpot01"
134,"Brad Daugherty",27.6953596755241,121,22.3680461076311,185,5.32731356789294,3.17603419914162,6.22541555488285,"C",36.7215619694397,21629,589,8,1987,1994,"CLE",1,"daughbr01"
135,"Michael Cooper",27.6048802441559,302,7.75471577814537,47,19.8501644660105,1.44570438843735,4.56492006685398,"SG",27.2612872238232,28379,1041,12,1979,1990,"LAL",1,"coopemi01"
136,"Kenny Sears",27.4693680830118,100,26.6603069865491,542,0.809061096462696,4.09155890450032,9.05028825129507,"PF",27.9014869888476,15011,538,8,1956,1964,"NYK",2,"searske01"
137,"Bob McAdoo",27.1938143922405,108,25.0318369979011,332,2.16197739433946,1.75486244561767,6.51230745274017,"C",32.8128964059197,31041,946,14,1973,1986,"BUF",7,"mcadobo01"
138,"Charles Oakley",27.0583622286024,147,18.0520111660543,111,9.00635106254814,1.2715354743201,4.26004685877662,"PF",31.8288920056101,45388,1426,19,1986,2004,"NYK",5,"oaklech01"
139,"Derek Harper",26.8795812145573,125,22.1911078101354,199,4.68847340442183,1.29603071212174,4.60982817520995,"PG",31.5432098765432,40880,1296,16,1984,1999,"DAL",4,"harpede01"
140,"Richie Guerin",26.7573108236476,124,22.2504628318379,201,4.50684799180969,2.17632992569529,6.06772896636669,"SG",32.352808988764,28794,890,13,1957,1970,"NYK",3,"gueriri01"
141,"Tyson Chandler",26.7345893835912,137,19.8860870764096,145,6.84850230718156,1.83317184653444,4.48683309723939,"C",28.7619047619048,28992,1008,15,2002,2016,"CHI",7,"chandty01"
142,"Dennis Johnson",26.633288914373,213,12.3445776610859,67,14.2887112532871,1.28629319083481,3.82094112049331,"PG",33.553125,42948,1280,14,1977,1990,"BOS",3,"johnsde01"
143,"Alonzo Mourning",26.5346614698223,126,22.1511838889951,206,4.38347758082723,2.00154368055648,5.75734826721585,"C",30.6237942122186,28572,933,15,1993,2008,"MIA",3,"mournal01"
144,"Joakim Noah",26.4123532631745,130,21.6477681265102,195,4.76458513666432,3.40859399481406,6.27964792233572,"C",30.1954397394137,18540,614,9,2008,2016,"CHI",1,"noahjo01"
145,"Lenny Wilkens",26.3314788192496,131,21.6270051657622,198,4.70447365348737,1.74553360942845,3.52285407214222,"PG",35.4662576687117,40467,1141,15,1961,1975,"STL",4,"wilkele01"
