"Rank","player","Hall_Rating","Reg_Season_Rank","Reg_Season_Hall_Rating","Playoff_Rank","Playoff_Hall_Rating","Est_BPM","Best_Season","Position","MPG","Minutes","Games","Seasons","Rookie_Yr","Final_Yr","Primary_Team","Teams","player_id"
1,"Michael Jordan",238.028504276052,3,137.516879104083,1,100.511625171969,7.77998477162596,17.2832923432542,"SG",38.7569944044764,48485,1251,15,1985,2003,"CHI",2,"jordami01"
2,"Kareem Abdul-Jabbar",234.943836561249,2,145.362040725364,3,89.5817958358855,5.85410138697265,15.0996575711462,"C",36.8931552587646,66297,1797,20,1970,1989,"LAL",2,"abdulka01"
3,"Wilt Chamberlain",224.665489091918,1,151.019296968648,5,73.6461921232698,6.9260497682749,18.1619460602576,"C",45.9900414937759,55418,1205,14,1960,1973,"LAL",4,"chambwi01"
4,"LeBron James",209.257926145858,4,121.745231123009,4,87.5126950228488,7.61969670719385,14.8167925712561,"SF",39.7468239564428,43801,1102,13,2004,2016,"CLE",2,"jamesle01"
5,"Magic Johnson",196.576658907013,9,99.2202573521605,2,97.3564015548523,6.94713801273387,12.5688947732175,"PG",37.2107664233577,40783,1096,13,1980,1996,"LAL",1,"johnsma02"
6,"Bill Russell",168.050670674733,11,94.7337074966748,6,73.3169631780586,5.41042616562635,11.3640573873493,"C",42.7508865248227,48223,1128,13,1957,1969,"BOS",1,"russebi01"
7,"Tim Duncan",161.507981433734,12,92.1957151114982,7,69.312266322236,4.91847195299808,14.4422892524303,"PF",34.9135646687697,55338,1585,19,1998,2016,"SAS",1,"duncati01"
8,"Larry Bird",160.327694133865,10,97.141819967397,8,63.1858741664678,6.54784629611354,13.9193841979851,"SF",38.9528746465598,41329,1061,13,1980,1992,"BOS",1,"birdla01"
9,"Karl Malone",155.401845245375,5,120.08433313392,16,35.3175121114544,4.92273137340316,9.87846745341742,"PF",37.602756141402,62759,1669,19,1986,2004,"UTA",2,"malonka01"
10,"Charles Barkley",148.39532308878,6,113.055357501714,15,35.3399655870667,6.55095972702624,12.3300050134121,"PF",36.9389632107023,44179,1196,16,1985,2000,"PHI",3,"barklch01"
11,"Jerry West",146.077256686181,14,86.14441777462,10,59.9328389115613,5.62634334976278,11.6681412802504,"PG",39.531797235023,42892,1085,14,1961,1974,"LAL",1,"westje01"
12,"Shaquille O'Neal",141.43719525431,18,81.0720351467526,9,60.3651601075574,4.56091684669573,12.1937741997157,"C",35.1482782853127,50016,1423,19,1993,2011,"LAL",6,"onealsh01"
13,"David Robinson",134.224546687067,7,101.812544763162,20,32.4120019239052,6.56342906704687,14.1256652606479,"C",34.6774774774775,38492,1110,14,1990,2003,"SAS",1,"robinda01"
14,"Hakeem Olajuwon",129.465170851018,17,81.9616848635179,13,47.5034859875,4.66701035968197,11.1211122838187,"C",36.1323210412148,49971,1383,18,1985,2002,"HOU",2,"olajuha01"
15,"Oscar Robertson",126.896250180559,8,100.115785055126,33,26.7804651254334,5.29874896000968,14.3310196538705,"PG",42.2371225577265,47559,1126,14,1961,1974,"CIN",2,"roberos01"
16,"Kobe Bryant",118.281403370646,24,67.9547365418344,12,50.3266668288117,3.62474349823395,10.6401672492617,"SG",36.9046357615894,55726,1510,20,1997,2016,"LAL",1,"bryanko01"
17,"Julius Erving",115.079274503021,16,82.0159300288706,18,33.06334447415,4.56576025221727,10.5948235279177,"SF",36.4992774566474,50515,1384,16,1972,1987,"PHI",3,"ervinju01"
18,"Clyde Drexler",112.538208973888,19,77.1920467511488,14,35.3461622227393,4.98493777898815,9.74019096763648,"SG",35.0194963444354,43109,1231,15,1984,1998,"POR",2,"drexlcl01"
