"Rank","player","Hall_Rating","Reg_Season_Rank","Reg_Season_Hall_Rating","Playoff_Rank","Playoff_Hall_Rating","Equiv_BPM","Best_Season","Position","MPG","Minutes","Games","Seasons","Rookie_Yr","Final_Yr","Primary_Team","Teams","player_id"
1,"Michael Jordan",226.092023792335,3,132.410229943403,1,93.6817938489314,7.57208773071918,15.8524739955372,"SG",38.7569944044764,48485,1251,15,1985,2003,"CHI",2,"jordami01"
2,"Kareem Abdul-Jabbar",224.232485079644,1,146.995078423085,4,77.2374066565592,5.87997587995549,16.0459858841191,"C",36.8931552587646,66297,1797,20,1970,1989,"LAL",2,"abdulka01"
3,"LeBron James",210.504507382449,4,125.97409088776,2,84.5304164946889,7.87563509882615,15.5013231400032,"SF",39.7468239564428,43801,1102,13,2004,2016,"CLE",2,"jamesle01"
4,"Wilt Chamberlain",199.630861450522,2,135.625110122054,6,64.0057513284679,6.42882207199757,15.8812618212504,"C",45.9900414937759,55418,1205,14,1960,1973,"LAL",4,"chambwi01"
5,"Magic Johnson",169.064366599313,11,90.2701530033065,3,78.7942135960063,6.44664623185621,10.9455394765102,"PG",37.2107664233577,40783,1096,13,1980,1996,"LAL",1,"johnsma02"
6,"Tim Duncan",167.108158514261,8,99.6624525213659,5,67.4457059928949,5.24001226460179,13.4053985395957,"PF",34.9135646687697,55338,1585,19,1998,2016,"SAS",1,"duncati01"
7,"Karl Malone",154.935888123896,5,120.520718249743,16,34.4151698741534,4.91367648833162,10.305008236542,"PF",37.602756141402,62759,1669,19,1986,2004,"UTA",2,"malonka01"
8,"Shaquille O'Neal",147.01163026721,13,87.5561742298072,7,59.4554560374031,4.92076634997544,12.4012119185782,"C",35.1482782853127,50016,1423,19,1993,2011,"LAL",6,"onealsh01"
9,"Charles Barkley",144.200014512143,6,107.611108409207,15,36.5889061029356,6.29817108395784,11.7730654749307,"PF",36.9389632107023,44179,1196,16,1985,2000,"PHI",3,"barklch01"
10,"Julius Erving",144.09531976036,10,91.6017915009062,10,52.493528259454,5.06506675621562,12.3621606899638,"SF",36.7171787709497,52579,1432,16,1972,1987,"PHI",3,"ervinju01"
11,"Larry Bird",139.153331017045,14,87.2629562139008,11,51.8903748031437,5.98369942163749,11.4687477218088,"SF",38.9528746465598,41329,1061,13,1980,1992,"BOS",1,"birdla01"
12,"David Robinson",136.859844204956,7,103.621528340005,17,33.2383158649515,6.6927600541861,14.0860405048571,"C",34.6774774774775,38492,1110,14,1990,2003,"SAS",1,"robinda01"
13,"Jerry West",132.125217493333,16,78.9130231248798,9,53.2121943684528,5.34498124137684,9.63044739924242,"PG",39.531797235023,42892,1085,14,1961,1974,"LAL",1,"westje01"
14,"Bill Russell",129.505493702602,22,74.3724563262249,8,55.1330373763774,4.58753532557178,9.22844428598776,"C",42.7508865248227,48223,1128,13,1957,1969,"BOS",1,"russebi01"
15,"Kobe Bryant",124.545708974102,21,75.4123867597715,13,49.1333222143302,3.95617562560672,10.0449787142621,"SG",36.9046357615894,55726,1510,20,1997,2016,"LAL",1,"bryanko01"
16,"Hakeem Olajuwon",122.696787095265,18,76.9902583503778,14,45.7065287448871,4.49938588889273,10.1663062915903,"C",36.1323210412148,49971,1383,18,1985,2002,"HOU",2,"olajuha01"
17,"Kevin Garnett",119.609495240104,9,98.0663925466401,45,21.543102693464,4.56420471362427,12.5022533947483,"PF",35.0551330798479,55317,1578,21,1996,2016,"MIN",3,"garneke01"
18,"Oscar Robertson",114.506916697698,12,89.2507398778176,36,25.2561768198803,4.91738901512002,12.1401463095266,"PG",42.2371225577265,47559,1126,14,1961,1974,"CIN",2,"roberos01"
19,"Scottie Pippen",109.73894223069,27,59.2028188829124,12,50.5361233477774,3.78069291605706,8.75346573508517,"SF",35.4790764790765,49174,1386,17,1988,2004,"CHI",3,"pippesc01"
20,"Dirk Nowitzki",107.892741106888,20,76.148300702328,21,31.7444404045604,4.24438087002695,10.4099262045285,"PF",35.959802538787,50991,1418,18,1999,2016,"DAL",1,"nowitdi01"
21,"John Stockton",106.748317051714,19,76.4749651374351,23,30.2733519142789,3.9887416631965,7.10219874963452,"PG",32.1245551601424,54162,1686,19,1985,2003,"UTA",1,"stockjo01"
