"Rank","player","Hall_Rating","Reg_Season_Rank","Reg_Season_Hall_Rating","Playoff_Rank","Playoff_Hall_Rating","Est_BPM","Best_Season","Position","MPG","Minutes","Games","Seasons","Rookie_Yr","Final_Yr","Primary_Team","Teams","player_id"
1,"Michael Jordan",229.854263861524,3,137.516879104083,1,92.3373847574409,7.67953200499988,17.2832923432542,"SG",38.7569944044764,48485,1251,15,1985,2003,"CHI",2,"jordami01"
2,"Kareem Abdul-Jabbar",224.456713031356,2,145.362040725364,4,79.0946723059925,5.76799295162516,15.0996575711462,"C",36.8931552587646,66297,1797,20,1970,1989,"LAL",2,"abdulka01"
3,"Wilt Chamberlain",210.530477118687,1,151.019296968648,7,59.5111801500383,6.78601804195186,18.1619460602576,"C",45.9900414937759,55418,1205,14,1960,1973,"LAL",4,"chambwi01"
4,"LeBron James",203.352432069683,4,121.745231123009,3,81.6072009466738,7.53123597134352,14.8167925712561,"SF",39.7468239564428,43801,1102,13,2004,2016,"CLE",2,"jamesle01"
5,"Magic Johnson",188.903640233765,9,99.2202573521605,2,89.6833828816041,6.85561140645308,11.8192066098254,"PG",37.2107664233577,40783,1096,13,1980,1996,"LAL",1,"johnsma02"
6,"Bill Russell",155.688925316739,11,94.7337074966748,5,60.9552178200643,5.26599267691284,11.3640573873493,"C",42.7508865248227,48223,1128,13,1957,1969,"BOS",1,"russebi01"
7,"Larry Bird",154.528971550957,10,97.141819967397,8,57.38715158356,6.45850190438706,12.9540342782822,"SF",38.9528746465598,41329,1061,13,1980,1992,"BOS",1,"birdla01"
8,"Tim Duncan",151.911754029975,12,92.1957151114982,6,59.7160389184769,4.81052301583774,13.4209190664335,"PF",34.9135646687697,55338,1585,19,1998,2016,"SAS",1,"duncati01"
9,"Karl Malone",149.69988720436,5,120.08433313392,17,29.6155540704401,4.85295963577078,9.87846745341742,"PF",37.602756141402,62759,1669,19,1986,2004,"UTA",2,"malonka01"
10,"Charles Barkley",145.37612463877,6,113.055357501714,15,32.3207671370564,6.50136618219391,12.3300050134121,"PF",36.9389632107023,44179,1196,16,1985,2000,"PHI",3,"barklch01"
11,"Jerry West",137.641250983981,14,86.14441777462,10,51.4968332093611,5.51139163007223,11.6681412802504,"PG",39.531797235023,42892,1085,14,1961,1974,"LAL",1,"westje01"
12,"Shaquille O'Neal",133.916862425442,18,81.0720351467526,9,52.8448272786894,4.4660887762148,12.1937741997157,"C",35.1482782853127,50016,1423,19,1993,2011,"LAL",6,"onealsh01"
13,"David Robinson",130.458960020268,7,101.812544763162,19,28.6464152571064,6.50302834186076,14.1256652606479,"C",34.6774774774775,38492,1110,14,1990,2003,"SAS",1,"robinda01"
14,"Julius Erving",128.87677694307,16,82.0159300288706,11,46.8608469141995,4.54280418714078,10.5948235279177,"SF",36.7171787709497,52579,1432,16,1972,1987,"PHI",3,"ervinju01"
15,"Hakeem Olajuwon",125.821174101928,17,81.9616848635179,13,43.85948923841,4.61809267111578,10.5212471607685,"C",36.1323210412148,49971,1383,18,1985,2002,"HOU",2,"olajuha01"
16,"Oscar Robertson",121.285833743317,8,100.115785055126,34,21.1700486881914,5.23105739018445,14.3310196538705,"PG",42.2371225577265,47559,1126,14,1961,1974,"CIN",2,"roberos01"
17,"Kobe Bryant",109.882456775575,24,67.9547365418344,14,41.9277202337402,3.52941211828867,9.66386264314195,"SG",36.9046357615894,55726,1510,20,1997,2016,"LAL",1,"bryanko01"
18,"Bob Pettit",108.302558638404,15,85.7560575831081,31,22.5465010552955,5.88710647175624,10.6390535814851,"PF",38.9034090909091,34235,880,11,1955,1965,"STL",2,"pettibo01"
19,"Clyde Drexler",107.829640412089,19,77.1920467511488,16,30.6375936609405,4.91725628862418,9.18071964445032,"SG",35.0194963444354,43109,1231,15,1984,1998,"POR",2,"drexlcl01"
20,"Kevin Garnett",105.027837713031,13,89.5232504611529,51,15.5045872518779,4.17712859631356,11.2918545734637,"PF",35.0551330798479,55317,1578,21,1996,2016,"MIN",3,"garneke01"
21,"Scottie Pippen",103.895254060431,26,57.9000741068331,12,45.9951799535976,3.63865899032039,8.29630168211732,"SF",35.4790764790765,49174,1386,17,1988,2004,"CHI",3,"pippesc01"
22,"John Stockton",101.823392016871,20,76.6679575983906,27,25.1554344184805,3.96837560783832,8.11531285589745,"PG",32.1245551601424,54162,1686,19,1985,2003,"UTA",1,"stockjo01"
23,"Dirk Nowitzki",93.848780814574,23,68.026358566425,26,25.8224222481489,3.81427345632985,9.91972017546552,"PF",35.959802538787,50991,1418,18,1999,2016,"DAL",1,"nowitdi01"
24,"Dolph Schayes",92.4457049395781,25,66.2541035969171,25,26.1916013426609,4.65728924273935,9.37070211532992,"PF",34.3777777777778,32487,945,13,1952,1964,"SYR",2,"schaydo01"
25,"Chris Paul",88.6540848677,21,74.900866648444,58,13.753218219256,6.57894837352599,12.5292379114015,"PG",36.3410852713178,28128,774,11,2006,2016,"LAC",3,"paulch01"
26,"Artis Gilmore",84.7122234831879,22,69.11173839265,50,15.6004850905379,3.73622479864997,6.95627646463634,"C",35.5241427571728,50764,1429,17,1972,1988,"KEN",4,"gilmoar01"
27,"Dwyane Wade",81.6322326698678,29,54.2736607462573,21,27.3585719236104,4.39918855972031,10.6401384475342,"SG",36.5868644067797,34538,944,13,2004,2016,"MIA",1,"wadedw01"
28,"Reggie Miller",77.0951814322096,28,56.5430100022416,37,20.5521714299679,3.28103717017209,5.29693020272521,"SG",34.5251141552511,52927,1533,18,1988,2005,"IND",1,"millere01"
29,"Elgin Baylor",72.9181605001654,38,48.1286163138958,29,24.7895441862696,3.47325686370517,10.2353622212928,"SF",40.1765306122449,39373,980,14,1959,1972,"LAL",2,"bayloel01"
30,"Moses Malone",71.2195541769629,32,52.256207779892,44,18.9633463970709,2.83962696560124,7.84133286486544,"C",34.3890675241158,53475,1555,21,1975,1995,"HOU",9,"malonmo01"
31,"Jason Kidd",70.4188207439513,37,51.2979777664179,43,19.1208429775333,2.76778730445716,6.91730062994334,"PG",36.2808263395739,56199,1549,19,1995,2013,"DAL",4,"kiddja01"
32,"Paul Arizin",69.5529134757592,30,53.8300730804541,49,15.7228403953051,4.72635047403987,10.094456815754,"SF",38.4345323741007,26712,695,9,1952,1962,"PHW",1,"arizipa01"
33,"Kevin McHale",67.2010358703966,45,40.6753399569522,24,26.5256959134443,3.53622273081822,8.48422064709405,"PF",31.4333333333333,35834,1140,13,1981,1993,"BOS",1,"mchalke01"
34,"Kevin Durant",65.8184475766227,40,45.6759399528471,38,20.1425076237757,4.68158518248434,12.0268804367998,"SF",38.4584615384615,24998,650,9,2008,2016,"OKC",2,"duranke01"
35,"Walt Frazier",64.6775582899415,41,42.4972953953969,32,22.1802628945446,3.60985180708169,7.24365191967385,"PG",38.037037037037,34918,918,13,1968,1980,"NYK",2,"fraziwa01"
36,"Adrian Dantley",64.3083536092416,31,53.1612390782236,73,11.147114531018,3.95576238164717,7.6244196230197,"SF",35.6673151750973,36666,1028,15,1977,1991,"UTA",7,"dantlad01"
37,"Sam Jones",64.2630157150116,54,37.6286732831063,22,26.6343424319053,3.78725694648567,7.6200284202499,"SG",28.2331707317073,28939,1025,12,1958,1969,"BOS",1,"jonessa01"
38,"Manu Ginobili",64.0931110700979,49,40.1936460988927,30,23.8994649712052,4.12372514708417,7.55929100080572,"SG",27.15065913371,28834,1062,14,2003,2016,"SAS",1,"ginobma01"
39,"Neil Johnston",62.7359897828845,27,57.462612261899,152,5.27337752098546,6.20657449834,12.0208804978895,"C",35.2504638218924,19000,539,8,1952,1959,"PHW",1,"johnsne01"
40,"Pau Gasol",61.803040204015,44,40.9336905556352,36,20.8693496483798,3.12882380653768,8.71982002578188,"C",35.7045045045045,39632,1110,15,2002,2016,"LAL",3,"gasolpa01"
41,"Gary Payton",61.1791763860315,35,51.9966734147425,87,9.18250297128897,2.44948988838979,7.8756785344192,"PG",35.3243787777032,52598,1489,17,1991,2007,"SEA",5,"paytoga01"
42,"Horace Grant",60.6561019292533,63,34.0645934209548,23,26.5915085082986,2.54571579237448,8.26781015775139,"PF",33.552808988764,44793,1335,17,1988,2004,"CHI",4,"grantho01"
43,"Paul Pierce",60.5240157978839,39,47.3841244022093,61,13.1398913956746,2.8539939192183,6.22400264262099,"SF",35.7147887323944,50715,1420,18,1999,2016,"BOS",4,"piercpa01"
44,"Larry Nance",59.6683891399463,36,51.49108066505,105,8.17730847489628,4.19368274277228,6.36688062873537,"PF",33.5273279352227,33125,988,13,1982,1994,"CLE",2,"nancela01"
45,"Bailey Howell",59.6644597773581,33,52.2138244636227,115,7.45063531373543,3.85771497671975,8.49087326068226,"PF",32.1901544401544,33349,1036,12,1960,1971,"DET",4,"howelba01"
46,"Isiah Thomas",58.0314604091066,82,29.8528100967944,20,28.1786503123121,2.51967087140181,7.9274990401155,"PG",36.451376146789,39732,1090,13,1982,1994,"DET",1,"thomais01"
47,"Walt Bellamy",57.5144321587264,34,52.0359341359604,141,5.47849802276606,3.25480928819844,9.82409979700985,"C",37.5381083562902,40879,1089,14,1962,1975,"ATL",7,"bellawa01"
48,"Bill Sharman",56.9585903961992,58,36.0501743316562,35,20.9084160645429,3.83617721784361,6.25831836761456,"SG",32.1451187335092,24366,758,10,1952,1961,"BOS",1,"sharmbi01"
49,"James Worthy",55.6567539304579,99,26.9697755524043,18,28.6869783780536,2.36662744457699,6.93567483860856,"SF",33.0196445275959,35298,1069,12,1983,1994,"LAL",1,"worthja01"
50,"Ray Allen",55.2801158548769,48,40.4458007724718,56,14.834315082405,2.49244695514462,6.11900705327869,"SG",35.6274643099932,52408,1471,18,1997,2014,"BOS",4,"allenra02"
51,"Chauncey Billups",54.964828052003,66,33.3417719071562,33,21.6230561448467,2.57632382852035,6.17759323972036,"PG",32.2363330529857,38329,1189,17,1998,2014,"DET",7,"billuch01"
