"Rank","player","Hall_Rating","Avg_BPM","Position","Minutes","Games","Seasons","Teams","player_id"
76,"George Gervin",35.2944773829494,1.32693371081412,"SG",38789,1144,14,4,"gervige01"
77,"Isiah Thomas",35.1110012412204,2.14286955006103,"PG",39732,1090,13,1,"thomais01"
78,"Robert Horry",35.0932167072975,2.34584828840104,"PF",33892,1351,16,4,"horryro01"
79,"Shawn Kemp",35.0087378694265,1.25671051001708,"PF",32230,1139,14,4,"kempsh01"
80,"Steve Nash",34.8608051323511,0.7673133691555,"PG",42358,1337,18,3,"nashst01"
81,"Andrei Kirilenko",34.7032334366505,2.24048371584219,"SF",25407,852,13,3,"kirilan01"
82,"George McGinnis",34.1269883514343,1.19800870371088,"PF",31894,946,11,4,"mcginge01"
83,"Dikembe Mutombo",34.0201810039083,1.44001639251229,"C",39908,1297,18,6,"mutomdi01"
84,"Kevin Johnson",33.9092615838896,1.37189770196462,"PG",28940,840,12,2,"johnske02"
85,"Connie Hawkins",33.8098512756687,2.27862396971218,"SF",23668,649,9,5,"hawkico01"
86,"Jimmy Jones",33.7418062686878,2.36090648778823,"PG",26687,775,10,4,"jonesji01"
87,"Vlade Divac",33.3631099067559,1.92658982401032,"C",37566,1255,16,3,"divacvl01"
