"Rank","player","Hall_Rating","Reg_Season_Rank","Reg_Season_Hall_Rating","Playoff_Rank","Playoff_Hall_Rating","Est_BPM","Best_Season","Position","MPG","Minutes","Games","Seasons","Rookie_Yr","Final_Yr","Primary_Team","Teams","player_id"
1,"Michael Jordan",198.946046085922,3,126.219146690303,1,72.7268993956198,7.2241267613471,16.1054627777007,"SG",38.7569944044764,48485,1251,15,1985,2003,"CHI",2,"jordami01"
2,"Kareem Abdul-Jabbar",193.640526738188,2,128.799360553635,3,64.8411661845523,5.22712941941834,13.7427695186693,"C",36.8931552587646,66297,1797,20,1970,1989,"LAL",2,"abdulka01"
3,"Wilt Chamberlain",183.692778817603,1,133.163514274295,7,50.529264543308,6.21311262429056,16.3558428035391,"C",45.9900414937759,55418,1205,14,1960,1973,"LAL",4,"chambwi01"
4,"LeBron James",180.043795574253,4,115.286278717178,4,64.7575168570747,7.2682678300787,14.0357926206498,"SF",39.7468239564428,43801,1102,13,2004,2016,"CLE",2,"jamesle01"
5,"Magic Johnson",158.227714402685,10,86.193386146867,2,72.0343282558179,6.17672644749381,10.1963681468256,"PG",37.2107664233577,40783,1096,13,1980,1996,"LAL",1,"johnsma02"
6,"Tim Duncan",140.891388984886,9,86.9193228543179,6,53.9720661305677,4.70889667038814,12.1059051329252,"PF",34.9135646687697,55338,1585,19,1998,2016,"SAS",1,"duncati01"
7,"Karl Malone",133.904171268271,5,109.511857527475,16,24.3923137407957,4.54309725291498,9.09938124384026,"PF",37.602756141402,62759,1669,19,1986,2004,"UTA",2,"malonka01"
8,"Bill Russell",131.898764143986,13,76.5853207700751,5,55.313443373911,4.57819084260027,9.53612556350211,"C",42.7508865248227,48223,1128,13,1957,1969,"BOS",1,"russebi01"
9,"Larry Bird",128.628787551546,12,84.73874914786,10,43.8900384036861,5.83064618025168,10.6298609264168,"SF",38.9528746465598,41329,1061,13,1980,1992,"BOS",1,"birdla01"
10,"Charles Barkley",127.384285915364,6,103.59933466145,18,23.784951253914,6.08584496400502,11.5541078000264,"PF",36.9389632107023,44179,1196,16,1985,2000,"PHI",3,"barklch01"
11,"Shaquille O'Neal",122.394268900286,15,75.5442100002944,8,46.8500588999911,4.28333731652143,11.7508017453213,"C",35.1482782853127,50016,1423,19,1993,2011,"LAL",6,"onealsh01"
12,"Jerry West",122.242008200233,14,76.5375173597071,9,45.7044908405257,5.10585492699214,11.4436568900396,"PG",39.531797235023,42892,1085,14,1961,1974,"LAL",1,"westje01"
13,"David Robinson",116.849719058465,7,93.7297469863898,20,23.1199720720751,6.11219528683202,13.1209984322851,"C",34.6774774774775,38492,1110,14,1990,2003,"SAS",1,"robinda01"
14,"Hakeem Olajuwon",107.97871248223,17,72.5655264946631,14,35.4131859875673,4.25416530152262,9.62701452782937,"C",36.1323210412148,49971,1383,18,1985,2002,"HOU",2,"olajuha01"
15,"Oscar Robertson",107.289046220149,8,91.0698575961679,41,16.2191886239807,4.83879989126027,12.9690152512639,"PG",42.2371225577265,47559,1126,14,1961,1974,"CIN",2,"roberos01"
16,"Julius Erving",105.343638897504,19,69.2582878206389,13,36.0853510768654,3.99947007720257,9.13374877436357,"SF",36.7171787709497,52579,1432,16,1972,1987,"PHI",3,"ervinju01"
17,"Kobe Bryant",104.138773538574,22,63.6303231639235,11,40.5084503746502,3.42534565995078,8.97168115541254,"SG",36.9046357615894,55726,1510,20,1997,2016,"LAL",1,"bryanko01"
18,"Kevin Garnett",98.7249442190607,11,85.4765781452529,46,13.2483660738078,4.04795350209261,10.9452791108789,"PF",35.0551330798479,55317,1578,21,1996,2016,"MIN",3,"garneke01"
19,"Clyde Drexler",93.0839041315586,20,67.708810373667,15,25.3750937578916,4.47433492407194,7.98121146237221,"SG",35.0194963444354,43109,1231,15,1984,1998,"POR",2,"drexlcl01"
20,"Bob Pettit",92.7650671201428,16,75.3553382938058,34,17.409728826337,5.31080325906533,9.51433034734872,"PF",38.9034090909091,34235,880,11,1955,1965,"STL",2,"pettibo01"
21,"John Stockton",87.3660634288059,21,66.887559879898,27,20.4785035489079,3.61617586599301,6.9623660827034,"PG",32.1245551601424,54162,1686,19,1985,2003,"UTA",1,"stockjo01"
