"Rank","player","Hall_Rating","Reg_Season_Rank","Reg_Season_Hall_Rating","Playoff_Rank","Playoff_Hall_Rating","Est_BPM","Best_Season","Position","MPG","Minutes","Games","Seasons","Rookie_Yr","Final_Yr","Primary_Team","Teams","player_id"
1,"Kareem Abdul-Jabbar",239.500944821785,2,145.362040725364,3,94.1389040964215,5.89211613030885,15.0996575711462,"C",36.8931552587646,66297,1797,20,1970,1989,"LAL",2,"abdulka01"
2,"Michael Jordan",238.175555503393,3,137.516879104083,2,100.65867639931,7.78440398378168,17.2832923432542,"SG",38.7569944044764,48485,1251,15,1985,2003,"CHI",2,"jordami01"
3,"Wilt Chamberlain",231.569588735503,1,151.019296968648,6,80.5502917668551,6.99678449644844,18.1619460602576,"C",45.9900414937759,55418,1205,14,1960,1973,"LAL",4,"chambwi01"
4,"LeBron James",211.102842727555,4,121.745231123009,4,89.357611604546,7.64752270066878,14.8167925712561,"SF",39.7468239564428,43801,1102,13,2004,2016,"CLE",2,"jamesle01"
5,"Magic Johnson",200.660184720604,9,99.2202573521605,1,101.439927368443,6.99626045864982,12.9278748855707,"PG",37.2107664233577,40783,1096,13,1980,1996,"LAL",1,"johnsma02"
6,"Bill Russell",178.184274992264,11,94.7337074966748,5,83.4505674955888,5.51724101859119,11.4267215795135,"C",42.7508865248227,48223,1128,13,1957,1969,"BOS",1,"russebi01"
7,"Tim Duncan",162.196498740643,12,92.1957151114982,7,70.0007836291449,4.92463022882505,14.640155018754,"PF",34.9135646687697,55338,1585,19,1998,2016,"SAS",1,"duncati01"
8,"Larry Bird",162.032920918357,10,97.141819967397,9,64.8911009509598,6.57455419206355,14.0559025973126,"SF",38.9528746465598,41329,1061,13,1980,1992,"BOS",1,"birdla01"
9,"Karl Malone",156.418880467052,5,120.08433313392,19,36.3345473331312,4.93577190825904,9.87846745341742,"PF",37.602756141402,62759,1669,19,1986,2004,"UTA",2,"malonka01"
10,"Jerry West",155.63035885257,14,86.14441777462,8,69.48594107795,5.74494011804017,11.6681412802504,"PG",39.531797235023,42892,1085,14,1961,1974,"LAL",1,"westje01"
