"Rank","player","Hall_Rating","Avg_BPM","Best_Season","Position","MPG","Minutes","Games","Seasons","Rookie_Yr","Final_Yr","Teams","player_id"
313,"Larry Kenon",10.946802276454,0.837160692227002,2.96726409129359,"PF",32.7404202719407,26487,809,10,1974,1983,6,"kenonla01"
314,"Greg Ballard",10.8723949198802,1.15284238995972,3.31191280355602,"SF",26.9677047289504,23381,867,11,1978,1989,3,"ballagr01"
315,"Jamaal Wilkes",10.8292086243305,0.900656021793945,2.36656761884979,"SF",33.0223166843783,31074,941,12,1975,1986,3,"wilkeja01"
316,"James Posey",10.8068865057026,0.805795287565778,3.8787036136375,"SF",26.8374596340151,24932,929,12,2000,2011,7,"poseyja01"
317,"Dave DeBusschere",10.7074204061458,0.663343228091727,1.31230719274422,"PF",35.9258496395469,34884,971,12,1963,1974,2,"debusda01"
318,"Michael Redd",10.6937673967838,1.37186984880328,3.14795544037558,"SG",31.9519379844961,20609,645,12,2001,2012,2,"reddmi01"
319,"Zach Randolph",10.6801419973533,0.567486480460774,3.08079275673648,"PF",32.1963562753036,31810,988,15,2002,2016,4,"randoza01"
320,"Phil Chenier",10.6005400305688,0.566972010725945,2.23614201982072,"SG",33.2351097178683,21204,638,10,1972,1981,5,"cheniph01"
321,"Reggie Lewis",10.5789047692087,1.75952979856523,2.34744637313232,"SG",32.4268292682927,15954,492,6,1988,1993,1,"lewisre01"
322,"Christian Laettner",10.5692314143712,1.27637772375097,3.72614102980766,"PF",29.4830230010953,26918,913,13,1993,2005,6,"laettch01"
323,"Mehmet Okur",10.5628377701305,1.58451889757558,2.09858011049798,"C",28.5177304964539,20105,705,10,2003,2012,3,"okurme01"
324,"Serge Ibaka",10.5400699085675,1.74919215530551,2.11262276066214,"PF",28.6666666666667,15222,531,7,2010,2016,1,"ibakase01"
325,"Tom Sanders",10.5372912988745,0.638707700766867,1.3503575513298,"SF",24.104206500956,25213,1046,13,1961,1973,1,"sandeto01"
326,"Red Kerr",10.5123893239064,0.541095178998436,2.73281615211016,"C",30.6411824668705,30059,981,12,1955,1966,3,"kerrre01"
327,"Andrew Bynum",10.4097915691571,1.82047472381691,2.00070687094376,"C",25.3638211382114,12479,492,8,2006,2014,3,"bynuman01"
328,"Mickey Johnson",10.2816565332609,1.02936662216171,2.28710482469797,"PF",27.6069114470842,25564,926,12,1975,1986,5,"johnsmi01"
329,"Danny Granger",10.2614614300328,1.43991050950323,2.37217202537278,"SF",31.2173913043478,19386,621,10,2006,2015,3,"grangda01"
330,"Tom Boerwinkle",10.2183741083425,1.34119231966903,2.51319167168033,"C",22.644776119403,15172,670,10,1969,1978,1,"boerwto01"
331,"Bob Gross",10.1960857475944,1.54001222698246,3.83020132476453,"SF",24.6635687732342,13269,538,8,1976,1983,2,"grossbo01"
332,"Don Buse",10.1833201863858,0.680424170545542,4.7180124899972,"PG",26.9790476190476,28328,1050,13,1973,1985,5,"busedo01"
333,"Nicolas Batum",10.1562074057179,2.01715266117093,3.03701372140385,"SF",30.8693181818182,16299,528,8,2009,2016,2,"batumni01"
334,"Damian Lillard",10.1437184488439,2.55003684982057,4.89058488768631,"PG",37.0361010830325,10259,277,4,2013,2016,1,"lillada01"
335,"Ricky Pierce",10.1225855401949,0.625317059754662,1.82116338290553,"SG",24.6913696060038,26321,1066,16,1983,1998,8,"piercri01"
336,"Fred Brown",10.0955524746412,0.699072218158774,2.32123582829649,"SG",25.1644359464627,26322,1046,13,1972,1984,1,"brownfr01"
337,"Charlie Ward",10.0144836563356,1.14249865920692,2.65546070348645,"PG",22.2891737891738,15647,702,11,1995,2005,3,"wardch01"
338,"Kyrie Irving",9.99276383098946,2.89825559213714,3.597801700142,"PG",34.5576208178439,9296,269,4,2012,2015,1,"irvinky01"
339,"Gene Shue",9.95221185582484,0.203065855231831,2.59412699072433,"PG",33.5280437756498,24509,731,10,1955,1964,5,"shuege01"
340,"Rich Kelley",9.91919660960767,1.22436519182838,3.42247459162785,"C",21.6193247962747,18571,859,11,1976,1986,6,"kelleri01"
341,"Trooper Washington",9.83297689213691,1.21480450765089,2.57749670359571,"PF",30.9959349593496,15250,492,6,1968,1973,5,"washitr01"
342,"Jameer Nelson",9.82658845209271,0.542737190779326,2.71569082223325,"PG",28.7883116883117,22167,770,12,2005,2016,4,"nelsoja01"
343,"Pete Maravich",9.76767811730805,0.800096167712239,2.63183090157518,"SG",36.6549707602339,25072,684,10,1971,1980,4,"maravpe01"
344,"Draymond Green",9.64809684426502,2.27504361619893,3.56539164290492,"SF",24.0237288135593,7087,295,4,2013,2016,1,"greendr01"
345,"Dick McGuire",9.59716156252605,0.76480575084307,1.87854630043231,"PG",28.6246153846154,18606,650,9,1952,1960,2,"mcguidi01"
346,"Jim McMillian",9.57177200113524,0.764164638081485,1.82421970732812,"SF",32.6443812233286,22949,703,9,1971,1979,4,"mcmilji01"
347,"Zydrunas Ilgauskas",9.54251850199936,0.855644188488889,2.00427144468823,"C",27.180931744312,25088,923,13,1998,2011,2,"ilgauzy01"
348,"Swen Nater",9.50276071464841,0.997249540787875,2.08024513512533,"C",28.373670212766,21337,752,11,1974,1984,7,"natersw01"
349,"Antonio McDyess",9.46704306835209,0.591722937957362,2.78475646825701,"PF",27.277130044843,30414,1115,15,1996,2011,5,"mcdyean01"
350,"Anderson Varejao",9.43961018854165,1.63939932611784,2.14430401191496,"C",25.1744548286604,16162,642,12,2005,2016,1,"varejan01"
