"Rank","player","Hall_Rating","Reg_Season_Rank","Reg_Season_Hall_Rating","Playoff_Rank","Playoff_Hall_Rating","Est_BPM","Best_Season","Position","MPG","Minutes","Games","Seasons","Rookie_Yr","Final_Yr","Primary_Team","Teams","player_id"
1,"Michael Jordan",224.159855541551,3,128.815177464803,1,95.3446780767479,7.34308617298077,16.4981022145134,"SG",38.7569944044764,48485,1251,15,1985,2003,"CHI",2,"jordami01"
2,"Kareem Abdul-Jabbar",214.79901648052,2,129.544403502204,4,85.2546129783162,5.32940817727621,13.986691790519,"C",36.8931552587646,66297,1797,20,1970,1989,"LAL",2,"abdulka01"
3,"Wilt Chamberlain",209.099096906603,1,136.648206338364,6,72.4508905682397,6.41577217231632,17.1109964364073,"C",45.9900414937759,55418,1205,14,1960,1973,"LAL",4,"chambwi01"
4,"LeBron James",204.086522994941,4,117.227397250454,3,86.859125744487,7.39760904345073,14.4045843399308,"SF",39.7468239564428,43801,1102,13,2004,2016,"CLE",2,"jamesle01"
5,"Magic Johnson",184.73309291192,8,90.8684085793802,2,93.8646843325394,6.50198113275016,12.245513362651,"PG",37.2107664233577,40783,1096,13,1980,1996,"LAL",1,"johnsma02"
6,"Bill Russell",157.520492394468,12,82.3653371085459,5,75.155155285922,4.93995750713108,10.7936701803847,"C",42.7508865248227,48223,1128,13,1957,1969,"BOS",1,"russebi01"
7,"Tim Duncan",150.629809841587,11,84.8908870981363,7,65.7389227434507,4.62683731840596,14.0824975162223,"PF",34.9135646687697,55338,1585,19,1998,2016,"SAS",1,"duncati01"
8,"Larry Bird",147.907607709423,9,88.3970496526178,9,59.5105580568052,6.07332328085413,13.3055508275995,"SF",38.9528746465598,41329,1061,13,1980,1992,"BOS",1,"birdla01"
9,"Karl Malone",141.138957696443,5,108.878158568183,19,32.2607991282605,4.51024535403056,9.22149218059522,"PF",37.602756141402,62759,1669,19,1986,2004,"UTA",2,"malonka01"
10,"Jerry West",138.030589825404,15,75.2156180801759,8,62.8149717452276,5.16281650782901,10.7755034448202,"PG",39.531797235023,42892,1085,14,1961,1974,"LAL",1,"westje01"
11,"Charles Barkley",137.545002085129,6,103.919511499909,16,33.6254905852193,6.11924569401572,11.6311839762248,"PF",36.9389632107023,44179,1196,16,1985,2000,"PHI",3,"barklch01"
12,"Shaquille O'Neal",130.634550808246,16,73.8075358720504,10,56.8270149361955,4.20465972966551,11.5773698325671,"C",35.1482782853127,50016,1423,19,1993,2011,"LAL",6,"onealsh01"
13,"David Robinson",125.082194086895,7,94.4565687616441,23,30.6256253252506,6.15796189685049,13.3481427225082,"C",34.6774774774775,38492,1110,14,1990,2003,"SAS",1,"robinda01"
14,"Hakeem Olajuwon",118.161219749329,17,72.3459459736054,14,45.8152737757235,4.24754090214629,10.6914425681956,"C",36.1323210412148,49971,1383,18,1985,2002,"HOU",2,"olajuha01"
15,"Julius Erving",117.926476547244,19,69.1244289770379,12,48.8020475702066,4.01702473659399,9.44354352111658,"SF",36.7171787709497,52579,1432,16,1972,1987,"PHI",3,"ervinju01"
16,"Oscar Robertson",114.110588472394,10,88.1723793726537,35,25.9382090997402,4.75317864506283,13.3171053922052,"PG",42.2371225577265,47559,1126,14,1961,1974,"CIN",2,"roberos01"
17,"Kobe Bryant",108.463878419401,23,61.1895848971946,13,47.2742935222062,3.33436697203705,10.3072235651669,"SG",36.9046357615894,55726,1510,20,1997,2016,"LAL",1,"bryanko01"
18,"Bob Pettit",104.72757605157,14,75.6172644901199,25,29.1103115614506,5.45228294468117,9.68969772391632,"PF",38.9034090909091,34235,880,11,1955,1965,"STL",2,"pettibo01"
