Rank,player,Hall_Rating,Reg_Season_Rank,Reg_Season_Hall_Rating,Playoff_Rank,Playoff_Hall_Rating,Equiv_BPM,Best_Season,Position,MPG,Minutes,Games,Seasons,Rookie_Yr,Final_Yr,Primary_Team,Teams,player_id
40,Ray Allen,68.93954172,35,48.14752911,56,20.79201261,2.911125193,6.917467267,SG,35.62746431,52408,1471,18,1997,2014,BOS,4,allenra02
41,Moses Malone,68.19458219,39,46.47566878,54,21.71891341,2.701082306,8.016969087,C,34.38906752,53475,1555,21,1975,1995,HOU,9,malonmo01
42,Horace Grant,66.59614978,64,34.55117381,27,32.04497597,2.664259545,8.021541162,PF,33.55280899,44793,1335,17,1988,2004,CHI,4,grantho01
43,John Havlicek,65.16815803,72,31.83966673,23,33.3284913,2.285703638,7.886291609,SF,36.98404993,53331,1442,16,1963,1978,BOS,1,havlijo01
44,Wes Unseld,64.89558759,49,41.60671243,48,23.28887516,3.30600095,5.741526832,C,36.91840435,40721,1103,13,1969,1981,WSB,3,unselwe01
45,Paul Arizin,63.92237486,44,45.29155379,61,18.63082108,4.173460927,11.36011167,SF,38.43453237,26712,695,9,1952,1962,PHW,1,arizipa01
46,Zelmo Beaty,62.40946596,59,36.02768798,43,26.38177798,3.369422982,8.756364779,C,33.88545817,34021,1004,12,1963,1975,STL,4,beatyze01
47,Neil Johnston,60.96042986,32,54.41003193,193,6.550397931,5.957762198,12.09580343,C,35.25046382,19000,539,8,1952,1959,PHW,1,johnsne01
48,Bob Lanier,60.63566361,36,47.17224238,91,13.46342123,3.899892645,9.38809166,C,33.59064327,34464,1026,14,1971,1984,DET,2,laniebo01
49,Sam Jones,59.91947524,89,27.765034,26,32.15444124,3.285091001,7.422623105,SG,28.23317073,28939,1025,12,1958,1969,BOS,1,jonessa01
50,Kevin McHale,59.13253017,70,32.44183106,42,26.69069911,3.070747234,7.181203594,PF,31.43333333,35834,1140,13,1981,1993,BOS,1,mchalke01
51,Adrian Dantley,57.9719871,37,46.94799874,118,11.02398835,3.597366203,6.319456723,SF,35.66731518,36666,1028,15,1977,1991,UTA,7,dantlad01
52,Ben Wallace,57.88887398,65,34.51120238,46,23.3776716,3.103687791,7.484569103,C,30.05665025,36609,1218,16,1997,2012,DET,6,wallabe01
