"Rank","player","Hall_Rating","Avg_BPM","Best_Season","Position","MPG","Minutes","Games","Seasons","Rookie_Yr","Final_Yr","Teams","player_id"
45,"Chauncey Billups",66.08059701237,3.12384568594693,6.79638197889276,"PG",32.2363330529857,38329,1189,17,1998,2014,7,"billuch01"
46,"Paul Arizin",63.6549779964916,4.23786330988962,9.85788799701429,"SF",38.4345323741007,26712,695,9,1952,1962,1,"arizipa01"
47,"Bill Sharman",63.0609681433644,3.49442767487949,11.3378949651122,"SG",32.1451187335092,24366,758,10,1952,1961,1,"sharmbi01"
48,"Horace Grant",62.8441556849943,2.66372205491882,8.01799258134069,"PF",33.552808988764,44793,1335,17,1988,2004,4,"grantho01"
49,"Sam Jones",62.4976154440152,3.28406962948928,8.47754422189183,"SG",28.2331707317073,28939,1025,12,1958,1969,1,"jonessa01"
50,"Walt Bellamy",60.4706013189484,3.23930708434661,9.08135582010791,"C",37.5381083562902,40879,1089,14,1962,1975,7,"bellawa01"
51,"Adrian Dantley",60.1330070935598,3.61150726748224,6.47100684522877,"SF",35.6673151750973,36666,1028,15,1977,1991,7,"dantlad01"
52,"Kevin McHale",58.0061969269084,3.07108785326965,7.17673142492652,"PF",31.4333333333333,35834,1140,13,1981,1993,1,"mchalke01"
53,"Bobby Jones",57.3079266080836,3.72565633808794,6.24552848999472,"PF",27.489010989011,30018,1092,12,1975,1986,3,"jonesbo01"
54,"Cliff Hagan",57.278714692454,3.01193571754533,10.202425735322,"SF",29.0728051391863,27154,934,13,1957,1970,2,"hagancl01"
55,"Neil Johnston",57.1077242040567,6.16236251053085,11.6451789028798,"C",35.2504638218924,19000,539,8,1952,1959,1,"johnsne01"
56,"Ben Wallace",56.2708828585318,3.10523864433713,5.9951823242568,"C",30.0566502463054,36609,1218,16,1997,2012,6,"wallabe01"
57,"Shawn Marion",55.6698328874673,2.85800383456831,7.23974756201765,"SF",34.5393081761006,43934,1272,16,2000,2015,5,"mariosh01"
